Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated,Hash
Cartesi,Immunefi,500000,0,0,"Solidity","L2","Blockchain","ETH,Avalanche,Polygon,BSC","Smart Contract,Websites and Applications",2023-08-08,00341893887cbd2619b3d687f683ec416b08864c601c902635da71342c1253cb
Sherlock,Immunefi,500000,0,0,"Solidity","Staking,Insurance","Defi","ETH","Smart Contract",2022-11-28,1a4e33acd1f0d7b707d1d09a6bd3259ff3242208fa353bd8ba4c67dadec4705f
Goldfinch,Immunefi,500000,94250,2171,"Solidity","Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-08-01,cb5546e9e3cc5f17c688870853f3e119fa9421394598bdada02867728157a3ed
Rocket Pool,Immunefi,500000,0,0,"Solidity","Staking","Defi,Infrastructure","ETH","Smart Contract",2023-08-04,fcef710a044799b6d09c48765355978c09c0d19caead67dcf060b86f997d9834
BENQI,Immunefi,500000,0,0,"Solidity","AMM","Defi","Avalanche","Smart Contract,Websites and Applications",2023-07-28,624b18aa68e27b9b1aab5bd250360bc62a9b988616096b318f19d884671cd4f6
Composable Finance,Immunefi,500000,0,0,"Solidity","","Infrastructure","ETH","Smart Contract",2023-03-08,decd1509a6561ceb292a531abc6df04e0531d66d5af4c289b751b01921da3c99
Alpha Venture DAO,Immunefi,500000,0,0,"Solidity","Staking,Crosschain Liquidity,Yield Aggregator","Defi,Infrastructure","ETH,Avalanche,BSC","Smart Contract,Websites and Applications",2023-04-17,a04187207a92ae46f9adac9ec159565525761fdc69a4daf023cf3d2a1e7a9706
Ajna,Immunefi,500000,0,0,"Solidity","Lending","Defi","ETH,Avalanche,Polygon,Optimism,Arbitrum","Smart Contract",2023-08-09,0117e8b00114b826461d31eee351418825a514523d40d2df28f35e6c22e0127f
Hook,Immunefi,500000,0,0,"Solidity","Options","NFT","ETH","Smart Contract",2023-07-31,0df198e392d5e4a9beadb4a581e98cee0cd2fb4c4355ef6bcc27ae5697ce998f
Ribbon,Immunefi,300000,0,0,"Solidity","Yield Aggregator,Derivatives","Defi","ETH","Smart Contract",2023-05-26,1c73824bf3375e889a84a8393072520be48372d7f89a6b76b29d71cc0a9badcc
Ondo Finance,Immunefi,250000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-03-07,a0d9c39859ccf662cf330689e6034e50eed1f3130837a5b06a32263b5dd3b0f2
Furucombo Funds,Immunefi,250000,0,0,"Solidity","DEX,L2","Defi","ETH,Polygon","Smart Contract",2023-04-28,fd98ab6acb6a82ca6b16ebe8f249b27680b46ca2a8e017c55b51e928bce35b09
Astar Network,Immunefi,250000,0,2748,"Rust","Staking,Crosschain Liquidity,L2","Defi","ETH,Polkadot","Websites and Applications,Blockchain/DLT",2023-05-20,ac300efac0bdda24e29c4ac5d1506db82303163e580bcb9dd123d030fd21a698
Marinade,Immunefi,250000,0,0,"Rust","Staking","Defi","Solana","Smart Contract",2022-11-23,bbd7d6bd52320dab20b2c18af215e95e4ae552b818438f56481a5cde8f415ef9
Cronos,Immunefi,250000,0,0,"Solidity","L1","Blockchain,Defi","Cronos","Smart Contract,Websites and Applications,Blockchain/DLT",2023-04-20,a001195f59e7f26a08e8c27a8d29a747faa97f544663d06222b3bc6df5e367a7
Notional,Immunefi,250000,0,135,"Solidity","Staking,Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-07-03,094dbf24124209effd7c0cde2aed5ea4818f2151f40996acc3ff5512c1744fe8
